oga_id,catalogue_number,supplier,rrid,gene_name,availability_checked,evidence_quote,evidence_type,checked_how,checked_on,previous_verdict
4440,sc-138763,,AB_10709750,C9orf72,not_rechecked,"[11-12 Aug] Santa Cruz: ""- Product Not Available""",,not re-checked on 30 Aug,2026-08-11,discontinued
1404,MAB7778,Bio-Techne (R&D Systems),AB_10679421,TARDBP,available,"[11-12 Aug] R&D Systems: In Stock, 25 ug GBP163 / 100 ug GBP365",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
3531,MAB1268,Bio-Techne (R&D Systems),AB_2301508,SERPINA1,available,"[11-12 Aug] Bio-Techne: ""In Stock - Arrives in 3-9 Business Days"", multiple sizes orderable",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
3564,MAB7045,Bio-Techne (R&D Systems),AB_10973152,CD44,available,"[11-12 Aug] R&D Systems: In Stock, 25 ug GBP165 / 100 ug GBP365",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
3663,MAB9071,Bio-Techne (R&D Systems),AB_2282021,MMP7,available,"[11-12 Aug] R&D Systems: In Stock (3 sizes), 25 ug GBP165",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1175,ab69989,abcam,AB_1271455,VGF,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued."" (title: ab69989 is not available)",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1296,AF1584,Bio-Techne (R&D Systems),AB_2197076,STAT5B,available,"[11-12 Aug] Bio-Techne: ""In Stock - Arrives in 7-9 Business Days""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1267,ab79390,abcam,AB_1603741,SOD1,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued.""; URL redirects to /products/unavailable/",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1678,MAB7410,Bio-Techne (R&D Systems),AB_2938856,GBA1,available,[11-12 Aug] R&D Systems: In Stock - Arrives in 7-9 Business Days,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
812,MAB216,Bio-Techne (R&D Systems),AB_2085064,CSF1,available,"[11-12 Aug] Bio-Techne: ""In Stock - Arrives in 7-9 Business Days""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
110,39-0900,Thermo Fisher Scientific,AB_2533396,PRKN,available,"[11-12 Aug] Thermo Fisher: GBP 360.80 with active ""Add To Cart"" button",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1677,MAB5736,Bio-Techne (R&D Systems),AB_2071999,CAV1,available,"[11-12 Aug] R&D Systems: In Stock, 25 ug GBP165",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
2520,MAB965,Bio-Techne (R&D Systems),AB_2086935,CTSB,available,"[11-12 Aug] R&D Systems: In Stock, 500 ug GBP438",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
955,AF-258-PB,Bio-Techne (R&D Systems),AB_2143400,MDK,available,[11-12 Aug] R&D Systems: In Stock - AF-258-PB orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
334,AF2918,Bio-Techne (R&D Systems),AB_2183026,SDC4,available,"[11-12 Aug] Bio-Techne: AF2918 orderable, AF2918-SP arrives in 14-16 business days",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
453,MAB1230,Bio-Techne (R&D Systems),AB_2141131,MAPK1,available,[11-12 Aug] R&D Systems: In Stock - MAB1230 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
283,ab52852,abcam,AB_869530,DNM1,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1176,ab74140,abcam,AB_1524551,VGF,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1673,AF5736,Bio-Techne (R&D Systems),AB_10571370,CAV1,available,[11-12 Aug] R&D Systems: In Stock - AF5736 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1939,AF6419,Bio-Techne (R&D Systems),AB_3075874,NTN1,available,[11-12 Aug] R&D Systems: In Stock - AF6419 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1881,AF4376,Bio-Techne (R&D Systems),AB_10890213,TGM2,available,[11-12 Aug] Bio-Techne: In Stock - Arrives in 3-9 Business Days,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
657,MAB41441,Bio-Techne (R&D Systems),AB_2289763,APOE,available,"[11-12 Aug] Bio-Techne: In Stock, 100 ug GBP365",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
2813,MAB5295,Bio-Techne (R&D Systems),AB_10920932,BECN1,available,"[11-12 Aug] R&D Systems: In Stock, 25 ug GBP162 / 100 ug GBP333",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
2168,MAB5348,Bio-Techne (R&D Systems),AB_10640504,SMPD1,available,"[11-12 Aug] R&D Systems: In Stock, 25 ug GBP150 / 100 ug GBP363",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1671,AF5407,Bio-Techne (R&D Systems),AB_2261784,DYRK1A,available,[11-12 Aug] R&D Systems: In Stock - AF5407 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
189,AF7245,Bio-Techne (R&D Systems),AB_10973494,RAB27A,available,[11-12 Aug] Novus Order Details: AF7245-SP GBP 165.00 / AF7245 GBP 406.00 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1676,MAB4176,Bio-Techne (R&D Systems),AB_2068084,CAMK2D,available,"[11-12 Aug] Bio-Techne: In Stock, 100 ug GBP339",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1846,AF3135,Bio-Techne (R&D Systems),AB_2194692,SPON1,available,[11-12 Aug] Bio-Techne: In Stock - AF3135 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1258,MAB3418,Bio-Techne (R&D Systems),AB_2193899,SOD1,available,[11-12 Aug] R&D Systems: In Stock - MAB3418 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
383,MAB3716,Bio-Techne (R&D Systems),AB_2163529,PLCG2,available,[11-12 Aug] R&D Systems: In Stock - MAB3716 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1934,MAB4364,Bio-Techne (R&D Systems),AB_2199304,SYT1,available,"[11-12 Aug] R&D Systems: In Stock, 25 ug GBP151 / 100 ug GBP359",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1344,MAB7166,Bio-Techne (R&D Systems),AB_10972948,SYK,available,[11-12 Aug] Bio-Techne: In Stock - MAB7166 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1679,MAB7957,Bio-Techne (R&D Systems),AB_3073948,CSNK2A1,available,[11-12 Aug] Bio-Techne: In Stock - MAB7957 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
551,MAB9291,Bio-Techne (R&D Systems),AB_2257925,ACE,available,"[11-12 Aug] Bio-Techne: In Stock, 500 ug GBP407",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
549,GTX100923,GeneTex,AB_1949562,ACE,discontinued,"[11-12 Aug] GeneTex: ""ACE antibody (GTX100923) has been discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1435,ab12116,abcam,AB_298856,TBK1,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1235,ab223851,abcam,AB_2885116,SLC29A1,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued."" (title: ab223851 is not available)",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1268,ab252426,abcam,AB_2885125,SOD1,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1672,AF5675,Bio-Techne (R&D Systems),AB_2302664,STXBP1,available,[11-12 Aug] Bio-Techne: In Stock - Arrives in 3-5 Business Days,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1878,AF7550,Bio-Techne (R&D Systems),AB_2843914,SCD1,available,[11-12 Aug] Bio-Techne: In Stock - AF7550 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
2158,AF8520,Bio-Techne (R&D Systems),AB_3096981,PSAP,available,"[11-12 Aug] R&D Systems: In Stock, 100 uL GBP392",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
2873,MAB1152,Bio-Techne (R&D Systems),AB_3657585,LGALS1,available,[11-12 Aug] R&D Systems: In Stock - MAB1152 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1297,MAB1584,Bio-Techne (R&D Systems),AB_2255442,STAT5B,available,[11-12 Aug] Bio-Techne: In Stock - MAB1584 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1470,MAB40401,Bio-Techne (R&D Systems),AB_10719268,TSC2,discontinued,"[11-12 Aug] R&D Systems: availability reads ""Discontinued Product""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1880,MAB4376,Bio-Techne (R&D Systems),AB_10971763,TGM2,available,[11-12 Aug] R&D Systems: In Stock - MAB4376 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1050,MAB5240,Bio-Techne (R&D Systems),AB_95182,TYROBP,discontinued,"[11-12 Aug] Novus Order Details: Availability = ""Product Discontinued""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
2516,MAB6216,Bio-Techne (R&D Systems),AB_10892300,TICAM1,discontinued,Bio-Techne/R&D Systems: page returned an empty document body on both bio-techne.com and rndsystems.com (bot-gated); no on-page text observed. NO EVIDENCE EITHER WAY.,unreachable,"claude / supplier site, live page visit (Chrome)",2026-08-30,available
864,MAB6360,Bio-Techne (R&D Systems),AB_10640296,LRP1,available,[11-12 Aug] Bio-Techne: In Stock - MAB6360 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
786,MAB7509,Bio-Techne (R&D Systems),AB_2885148,CHMP2B,available,[11-12 Aug] Bio-Techne: In Stock - MAB7509 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
199,MAB7779,Bio-Techne (R&D Systems),AB_2885149,PFN1,available,[11-12 Aug] R&D Systems: In Stock - MAB7779 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
188,MAB8305,Bio-Techne (R&D Systems),AB_3094838,RAB13,available,[11-12 Aug] R&D Systems: In Stock - MAB8305 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1860,GTX133569,GeneTex,AB_2887025,NLRP3,discontinued,"[11-12 Aug] GeneTex: ""NLRP3 antibody (GTX133569) has been discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
380,ab109267,abcam,AB_10888119,PLCG2,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
320,ab233810,abcam,AB_3698236,RAB13,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued."" (title: ab233810 is not available)",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1453,A20165,ABclonal,AB_2862952,TMEM106B,discontinued,[11-12 Aug] ABclonal catalogue search for A20165 returns 0 results; product page 404,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
959,NBP2-66948,Bio-Techne (Novus Biologicals),AB_2893290,MDK,discontinued,"[11-12 Aug] Novus Order Details: Availability = ""Product Discontinued""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
553,NBP2-67111,Bio-Techne (Novus Biologicals),AB_3698348,ACE,available,"[11-12 Aug] Bio-Techne: 100 ul / GBP 354.00 orderable, ""Contact Us For Delivery Time""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1072,AF1384,Bio-Techne (R&D Systems),AB_2285831,SFRP1,available,[11-12 Aug] CSV URL was a 404; product live at rndsystems.com/products/human-sfrp-1-antibody_af1384 - In Stock,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
982,MAB14381,Bio-Techne (R&D Systems),AB_2159941,PRKN,available,[11-12 Aug] R&D Systems: In Stock - MAB14381 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1299,MAB15841,Bio-Techne (R&D Systems),AB_2923181,STAT5B,available,"[11-12 Aug] Bio-Techne: In Stock, 100 ug GBP341",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
2166,MAB1888,Bio-Techne (R&D Systems),AB_2182970,SCARB2,available,[11-12 Aug] R&D Systems: In Stock - MAB1888 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
399,MAB3488,Bio-Techne (R&D Systems),AB_2170319,PRDX1,available,"[11-12 Aug] Bio-Techne: In Stock, 100 ug GBP367",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
3645,MAB5686,Bio-Techne (R&D Systems),AB_2163979,PKN2,available,[11-12 Aug] R&D Systems: In Stock - MAB5686 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
811,MAB616,Bio-Techne (R&D Systems),AB_2084934,CSF1,available,"[11-12 Aug] Bio-Techne: In Stock, 100 ug GBP401",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1308,MAB7894,Bio-Techne (R&D Systems),AB_10696820,STX4,available,[11-12 Aug] Novus Order Details: MAB7894-SP GBP150 / MAB7894 GBP332 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
123,MAB8170,Bio-Techne (R&D Systems),AB_2885051,GSN,available,"[11-12 Aug] R&D Systems: In Stock, 25 ug GBP153 / 100 ug GBP378",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1777,GTX106401,GeneTex,AB_1241205,PPP2R5D,discontinued,[11-12 Aug] GeneTex: product page 404; catalogue search for GTX106401 returns only GTX89966,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1774,GTX107949,GeneTex,AB_2036686,CSNK2A1,discontinued,"[11-12 Aug] GeneTex: ""Casein Kinase 2 alpha antibody (GTX107949) has been discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
277,GTX110379,GeneTex,AB_10726661,DNM1,discontinued,"[11-12 Aug] GeneTex: ""Dynamin 1 antibody [N3C2-2], Internal (GTX110379) has been discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
385,GTX111293,GeneTex,AB_1951274,PLCG2,discontinued,[11-12 Aug] GeneTex: product page 404; catalogue search returns no GTX111293 record,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
761,PA5-27720,Thermo Fisher Scientific,AB_2545196,CAPN2,discontinued,"[11-12 Aug] Thermo Fisher: ""Product Discontinued"" - cat # PA5-27720 discontinued and replaced",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
4436,ab121779,abcam,AB_11131428,C9orf72,discontinued,"[11-12 Aug] Abcam: redirects to /products/unavailable/ - ""ab121779 is not available""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
4438,ab227555,abcam,AB_2784540,C9orf72,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
668,ab252814,abcam,AB_2925224,APP,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
766,ab50811,abcam,AB_869307,CCNF,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1076,ab84003,abcam,AB_10670402,SFRP1,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
990,A14054,ABclonal,AB_2760909,PTN,discontinued,[11-12 Aug] ABclonal catalogue search for A14054 returns 0 results,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
580,ARP60161_P050,Aviva Systems Biology,AB_3698289,ACE,discontinued,"[11-12 Aug] Aviva on-site search: ""Oops... We can't seem to find the product you're looking for.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
559,ARP79754_P050,Aviva Systems Biology,AB_3698307,ACE,discontinued,"[11-12 Aug] Aviva product page availability field reads ""Discontinued""; no add-to-cart",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
727,OAAB05835,Aviva Systems Biology,AB_2892707,ATXN3,discontinued,"[11-12 Aug] Aviva product page 404 (Whoops, our bad); distributor listings note it as discontinued",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
728,OABB01906,Aviva Systems Biology,AB_2892708,ATXN3,discontinued,"[11-12 Aug] Aviva product page 404 (Whoops, our bad)",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
279,NB110-60491,Bio-Techne (Novus Biologicals),AB_921194,DNM1,available,"[11-12 Aug] Novus Order Details: NB110-60491 GBP 338.00, ""In Stock: 7-9 Business Days""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
179,NBP2-67502,Bio-Techne (Novus Biologicals),AB_2943542,RAB5A,discontinued,"[11-12 Aug] Novus Order Details: NBP2-67502 Availability = ""Product Discontinued""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1938,AF1725,Bio-Techne (R&D Systems),AB_2103184,FETUB,available,"[11-12 Aug] R&D Systems: In Stock, 25 ug GBP150",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
401,AF3488,Bio-Techne (R&D Systems),AB_2170320,PRDX1,available,[11-12 Aug] Bio-Techne: In Stock (both AF3488 and AF3488-SP),,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
100,AF3490,Bio-Techne (R&D Systems),AB_2168659,PRDX6,available,[11-12 Aug] R&D Systems: In Stock - Arrives in 3-5 Business Days,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1670,AF4176,Bio-Techne (R&D Systems),AB_2068085,CAMK2D,available,[11-12 Aug] Bio-Techne: In Stock - AF4176 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
70,AF7516,Bio-Techne (R&D Systems),AB_2895290,CTSH,available,"[11-12 Aug] Bio-Techne: In Stock, 100 ug GBP458",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
182,AF7789,Bio-Techne (R&D Systems),AB_3644504,RAB7A,available,"[11-12 Aug] Bio-Techne: In Stock, 100 ug GBP429",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
2329,MAB1109,Bio-Techne (R&D Systems),AB_2154710,NTN1,available,"[11-12 Aug] Bio-Techne: In Stock, 100 ug GBP403",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
981,MAB1438,Bio-Techne (R&D Systems),AB_2236703,PRKN,available,[11-12 Aug] R&D Systems: In Stock - MAB1438 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
504,MAB1784,Bio-Techne (R&D Systems),AB_2097861,ECE1,available,[11-12 Aug] Bio-Techne: In Stock - MAB1784 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
2517,MAB2176,Bio-Techne (R&D Systems),AB_2086936,CTSB,available,[11-12 Aug] R&D Systems: In Stock (both MAB2176 and MAB2176-SP),,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
820,MAB2317,Bio-Techne (R&D Systems),AB_2233760,INPP5D,available,[11-12 Aug] Bio-Techne: In Stock - MAB2317 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
2636,MAB3995,Bio-Techne (R&D Systems),AB_2160100,PARK7,available,[11-12 Aug] R&D Systems: In Stock - MAB3995 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
2637,MAB39951,Bio-Techne (R&D Systems),AB_3658217,PARK7,available,[11-12 Aug] R&D Systems: In Stock - MAB39951 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1229,MAB4659,Bio-Techne (R&D Systems),AB_2302055,SLC27A2,available,"[11-12 Aug] R&D Systems catalogue: MAB4659 In Stock, 100 ug GBP326",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
2170,MAB6219,Bio-Techne (R&D Systems),AB_10889643,TRIM21,available,[11-12 Aug] Bio-Techne: In Stock - MAB6219 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
2171,MAB62191,Bio-Techne (R&D Systems),AB_10973338,TRIM21,available,"[11-12 Aug] Bio-Techne: In Stock, 25 ug GBP151",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1172,MAB6317,Bio-Techne (R&D Systems),AB_10642180,VGF,discontinued,"[11-12 Aug] R&D Systems: ""Discontinued Product - MAB6317 has been discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1194,MAB8450,Bio-Techne (R&D Systems),AB_2885152,SLC19A1,available,"[11-12 Aug] Novus Order Details: MAB8450 GBP333, 8-10 business days (SP size backordered)",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1596,MAB9615,Bio-Techne (R&D Systems),AB_3075536,DDX1,available,[11-12 Aug] Bio-Techne: In Stock - MAB9615-100 orderable,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
416,CPTC-CD44-1,Developmental Studies Hybridoma Bank (DSHB),AB_2617229,CD44,available,"[11-12 Aug] DSHB page: ""In Stock"", Available: 8, $50.00",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
211,CPTC-CSF1-1,Developmental Studies Hybridoma Bank (DSHB),AB_2920823,CSF1,available,"[11-12 Aug] DSHB page: ""In Stock"", Available: 11, $50.00",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
497,GTX01114,GeneTex,AB_2888684,INPP5D,discontinued,"[11-12 Aug] GeneTex: ""GTX01114 is currently not offered.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
2409,GTX101197,GeneTex,AB_2037038,GALC,available,[11-12 Aug] GeneTex: active product page with Add to Cart button,,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,available
1219,GTX101761,GeneTex,AB_11174834,SLC25A11,discontinued,"[11-12 Aug] GeneTex: ""SLC25A11 antibody (GTX101761) has been discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
634,GTX107056,GeneTex,AB_1950409,GLE1,discontinued,"[11-12 Aug] GeneTex: ""GTX107056 is currently not offered.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
839,GTX107931,GeneTex,AB_2036749,DDX1,discontinued,"[11-12 Aug] GeneTex: ""DDX1 antibody [N3C3] (GTX107931) has been discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
925,GTX113067,GeneTex,AB_10722180,LRRK2,discontinued,"[11-12 Aug] GeneTex: ""LRRK2 antibody [N3], Internal (GTX113067) has been discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
954,GTX116089,GeneTex,AB_11165850,MDK,discontinued,"[11-12 Aug] GeneTex: ""Midkine antibody [N1C3] (GTX116089) has been discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
1866,GTX133213,GeneTex,AB_2886871,NTN1,discontinued,"[11-12 Aug] GeneTex: ""GTX133213 is currently not offered.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
74,GTX33065,GeneTex,AB_2895292,CTSH,discontinued,"[11-12 Aug] GeneTex: ""GTX33065 is currently not offered.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
73,MA5-17253,Thermo Fisher Scientific,AB_2538721,CTSH,discontinued,"[11-12 Aug] Thermo Fisher: ""Product Discontinued"" heading on MA5-17253",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
675,MA5-35653,Thermo Fisher Scientific,AB_2849553,GRN,discontinued,"[11-12 Aug] Thermo Fisher: ""cat # MA5-35653 has been discontinued and replaced""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
3112,ab171428,abcam,AB_2784541,C9orf72,discontinued,"[11-12 Aug] Abcam: redirects to /products/unavailable/ - ""ab171428 is not available""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
4437,ab203627,abcam,AB_2784542,C9orf72,discontinued,"[11-12 Aug] Abcam: ""This product is discontinued.""",,"claude / supplier site — 30 Aug recheck, no quote captured",2026-08-30,discontinued
