doi,identifier,use
10.3390/ijms21186888,ab151303,wrong
10.1152/ajpcell.00571.2023,ab51243,wrong
10.1080/15384101.2024.2316493,ab51243,wrong
10.18632/aging.101761,ab51243,wrong
10.1016/j.ejphar.2024.176865,ab51243,wrong
10.3892/etm.2023.11793,ab51243,wrong
10.4103/ijpm.ijpm_48_23,ab51243,wrong
10.1016/j.ijbiomac.2025.141573,ab151303,wrong
10.1016/j.jot.2023.11.006,ab51243,wrong
10.1177/20417314241312563,ab51243,wrong
10.1038/s41598-020-74874-4,ab51243,wrong
10.1016/j.acthis.2021.151728,ab51243,wrong
10.1016/j.aanat.2020.151606,ab151303,wrong
10.1186/s12903-024-04549-3,ab51243,wrong
10.1038/s41419-021-04321-3,ab51243,wrong
10.1038/s42003-025-07524-y,ab51243,wrong
10.3892/etm.2021.10548,ab51243,wrong
10.3892/etm.2020.9292,ab51243,wrong
10.1016/j.exger.2024.112359,ab51243,wrong
10.3389/fonc.2023.1097513,ab51243,wrong
10.1016/j.ygeno.2023.110573,ab51243,wrong
10.1002/jcla.23624,ab151303,wrong
10.1007/s12031-024-02191-w,ab51243,wrong
10.1016/j.biopha.2023.116100,ab51243,wrong
10.3390/biom14111476,ab51243,wrong
10.1007/s12195-021-00714-8,ab51243,wrong
10.1002/jmv.28480,ab151303,wrong
10.1002/mco2.70086,ab51243,wrong
10.1155/2022/1200602,sc-166760,wrong
10.34133/space.0104,sc-166760,wrong
10.4062/biomolther.2023.232,ab51243,wrong
10.1016/j.freeradbiomed.2023.12.028,ab51243,wrong
10.3390/ijms242216168,ab51243,wrong
10.1002/mco2.475,ab51243,wrong
10.2174/1567205018666210608103831,ab51243,wrong
10.1186/s12935-025-03770-6,ab51243,wrong
10.1016/j.exger.2023.112330,ab51243,wrong
10.3389/fcell.2025.1479960,sc-166760,wrong
10.1016/j.heliyon.2021.e06134,ab51243,wrong
10.7150/ijms.90591,ab51243,wrong
10.3390/ijms24097786,ab51243,wrong
10.1186/s13018-023-04085-w,ab51243,wrong
10.3390/medicina59071316,ab51243,wrong
10.3892/ol.2016.4288,ab51243,wrong
10.22038/ijbms.2019.30224.7287,ab51243,wrong
10.1096/fj.202302103RRR,ab51243,wrong
10.1016/j.anireprosci.2021.106701,ab151303,wrong
10.1007/s13577-021-00655-4,ab51243,wrong
10.3390/ijms24065091,ab51243,wrong
10.3390/ijms21228820,ab51243,wrong
10.1016/j.isci.2024.110045,ab51243,wrong
10.1242/jcs.227801,ab51243,wrong
10.1262/jrd.2014-081,ab51243,wrong
10.1007/s10103-024-03987-3,ab51243,wrong
10.12659/MSM.922673,ab51243,wrong
10.3892/ol.2018.9268,ab51243,wrong
10.3892/ol.2017.7712,ab51243,wrong
10.1186/s13287-024-04041-3,ab51243,wrong
10.3724/abbs.2024027,ab51243,wrong
10.1111/acel.70031,ab51243,wrong
10.1038/s41420-025-02746-9,ab51243,wrong
10.3390/cells14040249,ab51243,wrong
10.1155/2023/5093941,ab51243,wrong
10.1016/j.mad.2025.112067,ab51243,wrong
10.12659/MSM.926492,ab51243,wrong
10.1080/17435889.2024.2393074,ab151303,wrong
10.1038/s44303-025-00078-y,ab51243,wrong
10.1093/gerona/glae059,ab51243,wrong
10.4251/wjgo.v15.i9.1567,ab151303,wrong
10.1007/s10522-024-10151-5,ab51243,wrong
10.15857/ksep.2021.30.2.213,ab51243,wrong
10.1016/j.freeradbiomed.2025.08.049,ab151303,wrong
10.3390/ijms25073872,ab51243,wrong
10.1016/j.jgr.2025.05.001,ab51243,wrong
10.21037/jtd-24-710,ab151303,wrong
10.1186/s12944-025-02553-2,ab51243,wrong
10.3390/nu15071627,ab51243,wrong
10.26355/eurrev_202009_22805,ab51243,wrong
10.1152/ajplung.00212.2024,ab51243,wrong
10.1007/s00262-023-03481-9,ab51243,wrong
10.1155/2022/9312971,ab151303,wrong
10.1016/j.heliyon.2024.e29364,ab51243,wrong
10.1016/j.jgr.2025.05.007,ab51243,wrong
10.1007/s11033-023-09101-0,ab51243,wrong
10.1016/j.prmcm.2023.100288,ab51243,wrong
10.1016/j.redox.2025.103939,ab51243,wrong
10.1038/s41598-024-79284-4,ab51243,wrong
10.1016/j.bcp.2026.117772,ab51243,wrong
10.1186/s12903-025-05927-1,ab51243,wrong
10.1186/s40170-025-00398-y,ab51243,wrong
10.3390/cells14120853,ab51243,wrong
10.1186/s11658-026-00879-y,ab51243,wrong
10.1186/s13020-025-01154-6,ab51243,wrong
10.1016/j.envres.2025.122632,ab51243,wrong
10.1080/10715762.2024.2446337,ab51243,wrong
10.3389/fmed.2025.1627412,ab51243,wrong
10.3389/fonc.2022.872432,ab151303,wrong
10.1186/s43094-025-00784-9,ab151303,wrong
10.1016/j.jbc.2025.110904,ab51243,wrong
10.1111/jcmm.70507,ab51243,wrong
10.1007/s13273-022-00278-2,ab151303,wrong
10.3892/mmr.2025.13722,ab51243,wrong
10.1186/s13287-025-04653-3,ab51243,wrong
10.3906/biy-1610-40,ab51243,wrong
10.1038/s41401-025-01691-8,ab51243,wrong
10.1002/advs.202512407,ab51243,wrong
10.1111/acel.70180,ab51243,wrong
10.1002/ame2.70165,ab51243,wrong
10.32604/biocell.2021.014602,ab51243,wrong
10.1016/j.bbadis.2026.168187,ab51243,wrong
10.1016/j.biomaterials.2026.124287,ab51243,wrong
10.1016/j.bioadv.2026.214718,ab151303,wrong
10.4062/biomolther.2025.190,ab51243,wrong
10.1186/s12891-025-09105-w,ab51243,wrong
10.1002/brb3.71334,ab51243,wrong
10.1038/s41420-026-03011-3,ab51243,wrong
10.13386/j.issn1002-0306.2024050308,ab51243,wrong
10.3892/etm.2024.12590,ab51243,wrong
10.3389/fimmu.2025.1592737,ab51243,wrong
10.3389/fimmu.2023.1185921,ab51243,wrong
10.3389/fphar.2025.1548660,sc-166760,wrong
10.1016/j.intimp.2025.115554,ab51243,wrong
10.1016/j.ijbiomac.2025.149009,ab151303,wrong
10.1002/jbt.70437,ab51243,wrong
10.1007/s00535-025-02341-w,ab51243,wrong
10.2147/JIR.S544852,ab51243,wrong
10.1016/j.lddd.2026.100338,ab51243,wrong
10.1016/j.lddd.2026.100331,ab51243,wrong
10.1007/s10266-026-01362-y,ab51243,wrong
10.3390/ph19040604,ab51243,wrong
10.1016/j.phymed.2025.157609,sc-166760,wrong
10.1016/j.placenta.2026.02.015,ab51243,wrong
10.26355/eurrev_202010_23187,ab51243,wrong
10.26355/eurrev_201806_15257,ab51243,wrong
10.12182/20200560504,ab51243,wrong
10.1016/j.redox.2026.104157,ab51243,wrong
10.1126/sciadv.adr5867,sc-166760,wrong
10.1038/s41598-026-43064-z,ab51243,wrong
10.1096/fj.202402382R,ab51243,wrong
10.1016/j.tice.2026.103415,ab51243,wrong
10.1038/jhg.2011.126,ab51243,correct
10.3892/ijo.2012.1390,ab51243,correct
10.1038/s41467-022-30391-8,sc-166760,correct
10.1128/mbio.00598-15,sc-166760,correct
10.1111/cas.14205,ab51243,correct
10.1038/s42003-020-01538-4,sc-166760,correct
10.1016/j.celrep.2020.01.106,ab51243,correct
10.7554/eLife.65910,ab51243,correct
10.1242/bio.054304,sc-166760,correct
10.1093/jnen/nlz002,ab51243,correct
10.1016/j.celrep.2022.111266,ab51243,correct
10.1007/s10495-023-01827-3,ab51243,correct
10.1186/s13018-023-03835-0,ab51243,correct
10.7150/jca.79475,ab51243,correct
10.1002/advs.202514343,ab51243,correct
10.5114/aoms/172158,ab51243,correct
10.1016/j.jrras.2025.101878,ab51243,correct
10.1016/j.exger.2019.110805,sc-166760,cant check
10.1016/j.bcp.2022.114935,ab51243,cant check
10.1139/bcb-2018-0126,ab51243,cant check
10.1016/j.freeradbiomed.2023.06.017,ab51243,cant check
10.1016/j.canlet.2019.02.004,ab51243,cant check
10.1128/MCB.01101-15,ab51243,cant check
10.1016/j.lfs.2019.117086,ab51243,cant check
10.1016/j.gene.2022.146348,ab51243,cant check
10.1016/j.ejphar.2023.176298,ab51243,cant check
10.1016/j.ejphar.2024.176459,ab51243,cant check
10.1016/j.freeradbiomed.2021.04.003,sc-166760,cant check
10.1016/j.ejphar.2019.172748,ab51243,cant check
10.1016/j.jhazmat.2023.131891,ab51243,cant check
10.1016/j.cellsig.2022.110327,ab51243,cant check
10.1111/jre.12863,sc-166760,cant check
10.1089/scd.2017.0271,ab151303,cant check
10.1016/j.canlet.2021.09.017,ab51243,cant check
10.1159/000463386,ab151303,cant check
10.1089/jop.2022.0117,sc-166760,cant check
10.1515/hsz-2018-0469,ab151303,cant check
10.1016/j.intimp.2023.111262,ab51243,cant check
10.1142/S0192415X20500676,ab51243,cant check
10.1016/j.exger.2022.111829,ab51243,cant check
10.1016/j.freeradbiomed.2024.12.043,ab51243,cant check
10.1016/j.ijbiomac.2024.134600,ab51243,cant check
10.1111/php.12858,ab51243,cant check
10.1016/j.archger.2021.104460,ab51243,cant check
10.1016/j.mad.2023.111775,ab51243,cant check
10.1016/j.biocel.2018.04.021,ab51243,cant check
10.1016/j.jnutbio.2022.109063,ab51243,cant check
10.1016/j.jsbmb.2021.105831,sc-166760,cant check
10.1016/j.bbrc.2019.09.062,ab51243,cant check
10.1002/cbin.11751,ab51243,cant check
10.1016/j.intimp.2024.112948,ab51243,cant check
10.1016/j.jhazmat.2024.135159,ab51243,cant check
10.1016/j.atherosclerosis.2024.117483,ab51243,cant check
10.1016/j.cbi.2022.110258,ab51243,cant check
10.2337/db17-1330,ab51243,cant check
10.1016/j.job.2023.10.001,sc-166760,cant check
10.1016/j.intimp.2023.110961,ab51243,cant check
10.1002/JPER.22-0445,ab51243,cant check
10.1016/j.chemosphere.2024.142138,ab51243,cant check
10.1177/1535370218794915,sc-166760,cant check
10.1080/10715762.2022.2037582,ab51243,cant check
10.1016/j.devcel.2025.03.008,ab51243,cant check
10.1111/exd.15006,ab51243,cant check
10.1016/j.intimp.2025.114476,ab51243,cant check
10.1097/FJC.0000000000001394,ab51243,cant check
10.1016/j.tice.2024.102398,ab51243,cant check
10.1016/j.freeradbiomed.2025.05.416,ab51243,cant check
10.1016/j.intimp.2025.114871,ab51243,cant check
10.1016/j.intimp.2024.113471,ab51243,cant check
10.1089/rej.2022.0061,ab51243,cant check
10.1142/S0192415X24500952,ab51243,cant check
10.1089/ars.2024.0602,ab51243,cant check
10.1002/bab.1874,ab51243,cant check
10.1097/EC9.0000000000000097,ab51243,cant check
10.1016/j.jjcc.2025.06.011,ab51243,cant check
10.1016/j.intimp.2024.112746,ab51243,cant check
10.1002/jcp.70020,ab51243,cant check
10.1111/php.14015,ab51243,cant check
10.1002/jnr.70054,sc-166760,cant check
10.1002/mc.70027,ab51243,cant check
10.1096/fj.202403269R,ab51243,cant check
10.1016/j.bbrc.2025.152513,ab51243,cant check
10.1002/cbf.70211,ab51243,cant check
10.1016/j.gene.2025.149632,ab51243,cant check
10.1039/D5TB01165E,ab51243,cant check
10.1016/j.tice.2025.102763,ab51243,cant check
10.1016/j.ejphar.2025.178043,ab51243,cant check
10.1016/j.jhazmat.2025.140351,ab151303,cant check
10.3969/j.issn.2096-3882.2023.11.004,ab51243,cant check
