doi,identifier,use,pmid,title,year
10.1080/13880209.2022.2035773,ab192591,wrong
10.2147/OTT.S246278,ab192591,wrong
10.3892/ol.2017.6432,ab192591,wrong
10.1016/j.biopha.2023.115080,#3192,wrong
10.1016/j.molimm.2019.12.009,ab65142,wrong
10.1080/15384101.2019.1593647,ab192591,wrong
10.3389/fimmu.2021.635076,ab79483,wrong
10.1016/j.brainresbull.2020.10.006,ab192591,wrong
10.1111/hepr.13344,ab65142,wrong
10.1159/000503583,ab192591,wrong
10.1002/iid3.523,ab192591,wrong
10.21037/atm.2018.11.48,#3192,wrong
10.1016/j.intimp.2020.106497,ab192591,wrong
10.3892/ijmm.2017.2918,sc-377400,wrong
10.1002/jcb.29232,ab192591,wrong
10.1080/15384101.2021.1992853,ab229912,wrong
10.3892/ijmm.2015.2402,sc-377400,wrong
10.1002/cac2.12605,#3192,wrong
10.3892/mmr.2021.12000,ab192591,wrong
10.1111/cns.13390,ab229912,wrong
10.1111/jcmm.15212,ab79483,wrong
10.2147/DDDT.S223581,ab65142,wrong
10.3892/etm.2017.5062,#5683,wrong
10.1007/s12035-022-02743-4,ab192591,wrong
10.1016/j.canlet.2021.12.021,AP0886,wrong
10.3892/etm.2016.3034,ab65142,wrong
10.3892/etm.2019.7223,ab65142,wrong
10.1080/21655979.2021.2000283,#3192,wrong
10.1002/jcb.27268,ab65142,wrong
10.1016/j.neulet.2023.137397,ab229912,wrong
10.3389/fphar.2021.791889,ab229912,wrong
10.18388/abp.2020_5528,ab192591,wrong
10.1002/jcb.26135,20582-1-AP,wrong
10.7150/ijbs.29404,ab192591,wrong
10.1111/jcmm.17681,AP0886,wrong
10.1248/bpb.b18-00951,ab192591,wrong
10.1016/j.yexcr.2022.113403,AP0886,wrong
10.1042/BSR20190749,ab79483,wrong
10.1111/cas.15402,#3192,wrong
10.1186/s13046-021-01994-8,ab79483,wrong
10.15586/aei.v51i4.879,ab229912,wrong
10.33549/physiolres.934314,#3192,wrong
10.3892/etm.2016.3386,sc-377400,wrong
10.18632/aging.203514,ab65142,wrong
10.3892/ol.2021.13154,#3179,wrong
10.1002/iub.1979,ab217322,wrong
10.1016/j.phymed.2025.156787,ab229912,wrong
10.1248/bpb.b18-00646,ab192591,wrong
10.3892/etm.2018.5858,#3192,wrong
10.3892/ol.2017.5679,ab65142,wrong
10.3892/mmr.2017.7480,#3192,wrong
10.3892/ol.2020.11956,ab229912,wrong
10.1097/WNR.0000000000001082,ab79483,wrong
10.18632/aging.204709,ab65142,wrong
10.2147/CMAR.S211020,ab79483,wrong
10.3390/ijms232112820,ab65142,wrong
10.3892/etm.2021.10746,ab79483,wrong
10.1002/jcb.29701,PA5-40294,wrong
10.1039/d0tb00595a,ab79483,wrong
10.1111/jdi.14327,ab229912,wrong
10.26355/eurrev_201910_19155,ab192591,wrong
10.1002/iid3.851,ab229912,wrong
10.1155/2022/3888798,ab229912,wrong
10.3892/mmr.2017.8175,ab65142,wrong
10.1016/j.actbio.2023.08.039,ab229912,wrong
10.3892/mmr.2018.9625,ab192591,wrong
10.3892/mmr.2021.12493,ab192591,wrong
10.1016/j.lfs.2020.118993,#5683,wrong
10.1080/21655979.2021.1980645,ab192591,wrong
10.1128/MCB.00059-21,ab229912,wrong
10.1155/2018/4934861,ab65142,wrong
10.1167/iovs.61.6.28,ab79483,wrong
10.1515/biol-2021-0098,ab192591,wrong
10.26355/eurrev_201907_18329,ab192591,wrong
10.26355/eurrev_202005_21311,ab192591,wrong
10.3389/fonc.2022.1001126,GTX129275,wrong
10.3892/ijmm.2018.3929,ab192591,wrong
10.3892/mmr.2015.4088,sc-377400,wrong
10.7150/ijms.55406,ab65142,wrong
10.1002/brb3.2466,ab229912,wrong
10.1002/cbin.12026,ab192591,wrong
10.3892/etm.2018.6274,ab192591,wrong
10.3892/etm.2018.6274,ab79483,wrong
10.1002/jbt.70208,ab229912,wrong
10.1016/j.intimp.2025.114700,#3179,wrong
10.1515/med-2022-0578,ab79483,wrong
10.18632/aging.103863,ab65142,wrong
10.1007/s00109-024-02447-3,AP0886,wrong
10.1007/s10856-020-06454-x,ab229912,wrong
10.1007/s12672-023-00656-9,ab229912,wrong
10.1039/c7ra13406a,ab65142,wrong
10.2147/OTT.S250412,20582-1-AP,wrong
10.3389/fphys.2021.690109,ab65142,wrong
10.3892/etm.2020.9212,ab217322,wrong
10.3892/mmr.2015.4034,sc-377400,wrong
10.7150/thno.112608,#3192,wrong
10.3892/mmr.2018.9273,ab65142,wrong
10.1007/s11010-025-05235-w,ab229912,wrong
10.1186/s12865-023-00539-2,ab229912,wrong
10.21037/tcr-20-1132,ab65142,wrong
10.1002/ptr.70080,#3192,wrong
10.1007/s00210-023-02880-0,ab192591,wrong
10.1016/j.jep.2025.119886,#3192,wrong
10.1016/j.yexmp.2020.104571,ab65142,wrong
10.1021/acsomega.3c10274,ab229912,wrong
10.1007/s11064-021-03391-1,ab65142,wrong
10.1016/j.heliyon.2023.e18245,ab229912,wrong
10.1016/j.neuroscience.2021.12.035,ab229912,wrong
10.1016/j.tranon.2024.101992,A18196,wrong
10.1155/2024/6693292,#3192,wrong
10.1186/s13075-022-02949-w,ab229912,wrong
10.3389/fphar.2025.1672818,ab229912,wrong
10.4314/tjpr.v22i8.7,ab229912,wrong
10.1002/jbt.70551,ab229912,wrong
10.1007/s11010-025-05346-4,sc-377400,wrong
10.1039/d4fo05325g,#3192,wrong
10.22514/sv.2024.160,ab79483,wrong
10.2478/aite-2025-0019,ab192591,wrong
10.3390/ijms27020916,20582-1-AP,wrong
10.1002/bdr2.2484,ab65142,wrong
10.1016/j.cellsig.2026.112516,#3192,wrong
10.1016/j.taap.2025.117616,ab229912,wrong
10.22514/ejgo.2023.028,ab79483,wrong
10.31083/FBL33488,ab229912,wrong
10.3389/fonc.2025.1609215,ab229912,wrong
10.3390/cimb48050451,#5683,wrong
10.4149/gpb_2022026,ab229912,wrong
10.5603/fhc.110087,ab229912,wrong
,#3179,wrong,36915767,,2023
,#3192,wrong,32194908,,2020
,ab229912,wrong,36105027,,2022
,ab229912,wrong,34873488,,2021
